,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,45958.29,57218.93,69338.37,90984.48,108144.99
2,Liabilities,12951.94,19611.5,27934.07,36304.72,40606.44
3,Equity,33010.22,37611.74,41404.3,54679.76,67538.55
4,Paid-up Capital,1247.38,1247.38,1247.38,1247.38,1247.38
5,Revenue,51838.37,63826.88,84814.62,119501.16,147675.04
6,Profit (Loss) from Other Activities,58.3,353.7,1017.82,449.87,675.37
7,Net Profit,2959.96,7101.64,6699.01,15344.55,18422.54
8,EPS (Baht),2.37,5.69,5.37,12.3,1.48
9,Financial Ratio,,,,,
10,ROA (%),6.31,14.07,10.75,19.75,19.69
11,ROE (%),8.84,20.11,16.96,31.94,30.15
12,Net Profit Margin (%),5.69,11.05,7.9,12.84,12.48
