,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,2484438.68,2544182.88,3078018.83,3415632.29,3460461.9
2,Liabilities,1183399.06,1258337.79,1605079.11,1881939.53,1835486.49
3,Equity,878604.11,882040.4,1006696.22,1052590.88,1121197.88
4,Paid-up Capital,28563.0,28563.0,28563.0,28563.0,28563.0
5,Revenue,2239718.62,1633977.16,2287758.51,3391622.87,3185256.08
6,Profit (Loss) from Other Activities,21320.82,15713.74,-29416.61,-63512.46,12103.41
7,Net Profit,92950.6,37765.81,108363.41,91174.86,112023.88
8,EPS (Baht),3.2,1.32,3.79,3.2,3.92
9,Financial Ratio,,,,,
10,ROA (%),7.56,3.72,8.82,7.69,8.2
11,ROE (%),10.6,4.29,11.47,8.85,10.31
12,Net Profit Margin (%),5.45,2.44,6.65,3.6,4.87
