,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,39041.54,46032.16,42485.35,32331.46,32850.34
2,Liabilities,27708.63,33556.84,29202.13,18191.72,18859.88
3,Equity,10712.21,12349.84,13121.61,14077.0,13932.79
4,Paid-up Capital,2220.63,2220.63,2220.63,2220.63,2220.63
5,Revenue,7175.37,8996.95,9868.13,7566.35,7737.13
6,Profit (Loss) from Other Activities,288.55,2023.11,217.84,2459.4,1019.49
7,Net Profit,2147.33,3412.34,2229.27,3010.52,1474.47
8,EPS (Baht),0.24,0.39,0.25,0.34,0.17
9,Financial Ratio,,,,,
10,ROA (%),8.5,10.48,7.7,11.17,7.18
11,ROE (%),21.89,29.59,17.5,22.14,10.53
12,Net Profit Margin (%),30.97,38.07,22.82,39.84,19.06
