,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,669464.01,675637.1,783535.67,869864.32,902820.93
2,Liabilities,312405.29,321226.21,368185.92,402743.72,403378.12
3,Equity,357058.71,354410.88,415349.75,467120.61,499326.5
4,Paid-up Capital,3969.99,3969.99,3969.99,3969.99,3969.99
5,Revenue,195457.52,166599.74,234631.13,339901.86,313590.65
6,Profit (Loss) from Other Activities,338.79,2125.64,-8087.13,-8499.23,1221.28
7,Net Profit,48802.54,22664.01,38863.6,70901.34,76706.39
8,EPS (Baht),11.72,5.65,9.7,17.94,18.89
9,Financial Ratio,,,,,
10,ROA (%),11.81,7.34,11.91,18.32,17.0
11,ROE (%),13.06,6.37,10.1,16.07,15.87
12,Net Profit Margin (%),24.97,13.6,16.56,20.86,24.46
