,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,4412.31,4883.40,5005.52,5204.25,5749.92
2,Liabilities,542.44,794.58,768.97,807.73,913.87
3,Equity,3870.27,4090.93,4224.23,4373.32,4818.86
4,Paid-up Capital,2000.00,2000.00,2000.0,2000.0,2000.0
5,Revenue,2881.99,3187.27,3391.06,3968.31,4429.42
6,Profit (Loss) from Other Activities,-,-,10.49,20.12,-7.14
7,Net Profit,352.78,519.02,420.1,482.27,649.03
8,EPS (Baht),0.22,0.26,0.21,0.24,0.32
9,Financial Ratio,,,,,
10,ROA (%),11.93,13.92,12.27,12.01,14.93
11,ROE (%),11.83,13.04,10.1,11.22,14.12
12,Net Profit Margin (%),12.27,16.23,12.47,12.38,14.66
