,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,108336.02,112632.1,116631.98,127451.47,147303.35
2,Liabilities,76461.18,73434.86,75665.32,83410.96,99894.87
3,Equity,30943.38,37375.55,39225.41,42432.98,45949.31
4,Paid-up Capital,15903.13,15903.13,15924.87,15967.75,17640.32
5,Revenue,25360.35,34891.03,29747.52,34973.59,38132.5
6,Profit (Loss) from Other Activities,1721.31,533.04,75.0,712.34,1594.82
7,Net Profit,2392.44,1673.09,2017.28,4279.88,6060.39
8,EPS (Baht),0.17,0.11,0.11,0.27,0.36
9,Financial Ratio,,,,,
10,ROA (%),3.76,2.89,3.35,4.86,5.72
11,ROE (%),7.74,4.9,5.27,10.48,13.71
12,Net Profit Margin (%),8.97,4.18,6.52,11.74,15.33
