,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,113139.05,122571.06,125198.06,123948.76,131919.69
2,Liabilities,59956.18,71970.38,74551.76,71664.01,79686.7
3,Equity,52463.31,49903.62,49946.81,51578.97,51512.53
4,Paid-up Capital,11949.71,11949.71,11949.71,11949.71,11949.71
5,Revenue,31241.74,30965.09,33031.78,36482.29,27669.56
6,Profit (Loss) from Other Activities,5786.94,2908.6,2811.07,3160.39,5800.35
7,Net Profit,10024.91,7144.92,6936.13,8312.52,7481.89
8,EPS (Baht),0.84,0.6,0.58,0.7,0.63
9,Financial Ratio,,,,,
10,ROA (%),11.22,7.83,7.53,8.74,7.69
11,ROE (%),19.57,13.96,13.89,16.38,14.52
12,Net Profit Margin (%),32.16,23.0,21.01,22.8,27.09
