,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,169933.03,221773.51,263420.84,272691.93,279872.72
2,Liabilities,89470.77,144650.21,181345.65,183071.74,179290.99
3,Equity,72128.41,68790.05,73102.18,81474.94,92272.9
4,Paid-up Capital,2244.0,2244.0,2244.0,2244.0,2244.0
5,Revenue,38402.81,33161.11,30397.53,38707.0,48336.84
6,Profit (Loss) from Other Activities,1479.43,1041.59,703.96,1559.58,2133.13
7,Net Profit,11738.4,9557.1,7148.45,10759.89,15061.62
8,EPS (Baht),2.62,2.13,1.59,2.4,3.36
9,Financial Ratio,,,,,
10,ROA (%),9.02,6.96,4.46,5.81,7.71
11,ROE (%),17.03,13.56,10.08,13.92,17.34
12,Net Profit Margin (%),30.75,29.0,23.78,28.09,31.51
