,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,311690.01,363411.02,436123.2,507637.02,545327.02
2,Liabilities,267678.75,316785.3,384961.05,449525.57,484074.17
3,Equity,43902.11,46517.18,51046.1,57823.52,60966.94
4,Paid-up Capital,8467.51,8467.51,8467.51,8467.51,8467.51
5,Revenue,23778.75,25391.78,29101.4,32318.48,37741.08
6,Profit (Loss) from Other Activities,1706.85,1128.49,-167.4,827.24,428.57
7,Net Profit,5988.44,5123.27,6318.05,7602.1,5443.4
8,EPS (Baht),7.07,6.05,7.46,8.98,6.43
9,Financial Ratio,,,,,
10,ROA (%),4.21,3.37,2.9,2.98,2.89
11,ROE (%),13.91,11.33,12.95,13.97,9.16
12,Net Profit Margin (%),25.19,20.26,21.84,23.57,14.46
