,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,61871.60,77221.88,98389.84,128066.2,150155.95
2,Liabilities,45899.89,56539.74,73521.34,98975.6,118239.15
3,Equity,15971.71,20682.13,24868.5,29090.6,31916.80
4,Paid-up Capital,2120.00,2120.0,2120.0,2120.0,2120.00
5,Revenue,12687.93,14732.59,16018.74,20068.49,24526.18
6,Profit (Loss) from Other Activities,-,36.14,19.51,-393.68,-
7,Net Profit,4237.47,5213.92,4944.55,5093.09,4906.47
8,EPS (Baht),2.00,2.46,2.33,2.4,2.31
9,Financial Ratio,,,,,
10,ROA (%),11.02,11.98,9.49,8.1,7.18
11,ROE (%),26.53,28.45,21.71,18.88,16.08
12,Net Profit Margin (%),33.40,35.39,30.87,25.38,20.01
