,Period as of,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,
1,Assets,533706.29,556041.81,572793.08
2,Liabilities,447275.06,457973.64,468213.72
3,Equity,86431.24,98068.18,104579.36
4,Paid-up Capital,10600.00,11450.00,11450.00
5,Revenue,109246.02,107152.59,108758.73
6,Profit (Loss) from Other Activities,-,-,-
7,Net Profit,8393.52,9265.06,9706.66
8,EPS (Baht),0.79,0.84,0.85
9,Financial Ratio,,,
10,ROA (%),2.02,2.10,2.13
11,ROE (%),9.71,10.04,9.58
12,Net Profit Margin (%),7.68,8.65,8.92
