,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,298304.1,275443.21,243621.93,265414.44,290724.25
2,Liabilities,259107.98,235981.13,202421.55,222623.81,248276.27
3,Equity,39192.98,39458.94,41197.09,42787.39,42444.87
4,Paid-up Capital,8006.56,8006.56,8006.56,8006.56,8006.56
5,Revenue,24855.5,22865.95,21265.45,20784.02,23692.47
6,Profit (Loss) from Other Activities,-5.3,10.66,417.33,144.7,5.09
7,Net Profit,7270.23,6063.48,6784.59,7224.08,7301.11
8,EPS (Baht),9.08,7.57,8.47,9.02,9.12
9,Financial Ratio,,,,,
10,ROA (%),4.71,3.91,4.17,4.39,4.78
11,ROE (%),18.91,15.42,16.82,17.2,17.13
12,Net Profit Margin (%),29.26,26.52,31.91,34.76,30.82
