,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,141909.05,144574.67,166604.04,182569.47,165450.32
2,Liabilities,90114.09,88838.02,104390.64,94438.04,99433.08
3,Equity,48423.2,52185.26,59319.07,80642.28,58628.23
4,Paid-up Capital,1192.95,1192.95,1192.95,1192.95,1163.78
5,Revenue,128445.7,134111.99,141858.21,156560.31,137212.85
6,Profit (Loss) from Other Activities,740.41,-527.49,1712.94,-267.36,142.98
7,Net Profit,3815.88,6246.09,8013.0,7138.0,-13933.21
8,EPS (Baht),0.8,1.26,1.66,1.47,-3.15
9,Financial Ratio,,,,,
10,ROA (%),4.57,6.29,6.9,4.9,4.66
11,ROE (%),8.33,12.42,14.37,10.2,-20.01
12,Net Profit Margin (%),3.24,4.85,5.83,4.73,-9.62
