,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,177850.39,173490.55,190491.86,198186.76,192661.15
2,Liabilities,94448.28,97824.63,102779.57,118508.98,116539.42
3,Equity,83255.73,75526.4,87495.58,79452.28,75910.51
4,Paid-up Capital,20434.42,20434.42,20434.42,20434.42,20434.42
5,Revenue,241623.85,175281.72,256622.74,326338.16,319900.04
6,Profit (Loss) from Other Activities,2008.64,942.37,-1229.54,-7835.14,768.67
7,Net Profit,-1174.04,-6151.7,14504.62,-4363.62,-2923.17
8,EPS (Baht),-0.06,-0.3,0.71,-0.21,-0.14
9,Financial Ratio,,,,,
10,ROA (%),0.0,-3.29,10.23,-1.87,-0.82
11,ROE (%),-1.38,-7.75,17.79,-5.23,-3.76
12,Net Profit Margin (%),-0.47,-3.5,5.66,-1.34,-0.91
