,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,45461.61,52007.37,49966.87,69481.89,111464.66
2,Liabilities,25269.90,27937.49,22991.54,40477.32,80268.03
3,Equity,18388.37,22084.87,24697.86,25662.3,28177.0
4,Paid-up Capital,1336.25,1373.15,1373.15,1373.15,1373.15
5,Revenue,9793.26,10993.03,10230.83,12275.32,18914.53
6,Profit (Loss) from Other Activities,-,-,-28.94,31.04,25.81
7,Net Profit,3756.49,4508.33,4722.14,4476.16,5000.8
8,EPS (Baht),2.85,3.32,3.44,3.26,3.64
9,Financial Ratio,,,,,
10,ROA (%),12.56,14.13,14.08,11.36,9.83
11,ROE (%),20.43,22.28,20.19,17.78,18.58
12,Net Profit Margin (%),40.12,43.58,49.24,39.32,27.78
