,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,100229.43,112132.25,154855.31,229578.28,213478.95
2,Liabilities,40815.5,51610.68,77045.76,122175.01,106345.49
3,Equity,59413.27,60520.89,70289.71,98028.61,97997.38
4,Paid-up Capital,14500.0,14500.0,14500.0,21750.0,21750.0
5,Revenue,39251.7,34921.65,38213.22,75735.85,46832.93
6,Profit (Loss) from Other Activities,3835.9,4774.56,6429.86,5919.65,4741.31
7,Net Profit,5963.28,6286.68,7772.02,5782.07,5167.25
8,EPS (Baht),4.11,4.34,5.36,3.15,2.38
9,Financial Ratio,,,,,
10,ROA (%),8.2,7.41,7.36,4.99,4.87
11,ROE (%),9.99,10.48,11.88,6.87,5.27
12,Net Profit Margin (%),15.19,18.0,20.36,7.49,11.7
