,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,9159.67,9206.72,15965.74,19162.45,22976.25
2,Liabilities,5783.52,5335.89,10664.99,11910.55,14788.64
3,Equity,3373.79,3852.29,5284.86,7154.47,8046.76
4,Paid-up Capital,300.0,300.0,300.0,600.00,600.0
5,Revenue,33390.19,37352.9,51154.66,63025.62,69641.67
6,Profit (Loss) from Other Activities,37.87,105.3,118.4,-,67.37
7,Net Profit,1216.32,1490.68,2630.39,3037.71,2857.17
8,EPS (Baht),1.01,1.24,2.19,1.27,1.19
9,Financial Ratio,,,,,
10,ROA (%),18.59,20.43,25.67,22.41,17.82
11,ROE (%),39.59,41.26,57.58,48.84,37.59
12,Net Profit Margin (%),3.64,4.0,5.14,4.86,4.21
