,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,7979.45,12250.21,13764.43,15397.42,16244.74
2,Liabilities,1089.48,6595.67,6404.23,7173.63,7294.87
3,Equity,6375.36,5280.18,7052.78,7921.87,8671.71
4,Paid-up Capital,388.26,388.26,419.32,427.93,428.96
5,Revenue,4919.5,3768.02,4607.41,6706.16,8445.89
6,Profit (Loss) from Other Activities,-2.25,-11.04,-27.8,-13.46,-5.04
7,Net Profit,743.19,140.23,64.04,703.17,911.25
8,EPS (Baht),0.2,0.04,0.02,0.17,0.21
9,Financial Ratio,,,,,
10,ROA (%),15.4,2.4,1.51,7.6,9.17
11,ROE (%),14.25,2.41,1.04,9.39,10.98
12,Net Profit Margin (%),17.42,3.23,-0.23,10.63,11.22
