,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,3216743.1,3822959.69,4333280.91,4421752.09,4514484.38
2,Liabilities,2788626.79,3372712.55,3838688.35,3914610.14,3983654.35
3,Equity,427751.21,449013.69,492727.07,505345.98,528974.77
4,Paid-up Capital,19088.43,19088.43,19088.43,19088.43,19088.43
5,Revenue,158310.64,150106.58,157313.5,185492.9,241407.88
6,Profit (Loss) from Other Activities,27704.8,13555.57,19301.83,3891.05,5249.2
7,Net Profit,35816.09,17180.58,26507.04,29305.59,41635.52
8,EPS (Baht),18.76,9.0,13.89,15.35,21.81
9,Financial Ratio,,,,,
10,ROA (%),2.78,1.62,1.6,1.69,2.59
11,ROE (%),8.52,3.92,5.63,5.87,8.05
12,Net Profit Margin (%),22.87,11.69,17.13,16.04,17.42
