,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,254183.77,362326.52,369632.89,358209.76,359195.92
2,Liabilities,168315.92,286002.61,290140.46,275600.79,271901.37
3,Equity,75461.25,66980.9,68022.67,71058.94,76637.22
4,Paid-up Capital,4619.0,5182.33,5213.77,5275.01,5595.8
5,Revenue,129061.6,58695.64,76211.26,124205.85,153049.24
6,Profit (Loss) from Other Activities,827.51,-463.9,1260.38,1670.18,-876.97
7,Net Profit,10697.93,-21407.34,-13166.51,4286.37,5407.06
8,EPS (Baht),2.04,-4.71,-2.83,0.54,0.65
9,Financial Ratio,,,,,
10,ROA (%),6.66,-5.74,-2.41,4.38,5.81
11,ROE (%),14.52,-30.06,-19.51,6.16,7.32
12,Net Profit Margin (%),8.52,-38.68,-18.6,3.64,3.98
