,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,7686.94,7404.55,7106.27,7385.71,7205.19
2,Liabilities,1466.59,1125.88,915.3,1215.69,1363.68
3,Equity,6220.36,6278.68,6190.97,6170.02,5841.51
4,Paid-up Capital,1300.0,1300.0,1300.0,1300.0,1300.0
5,Revenue,5347.71,5107.96,5250.77,6359.6,8085.04
6,Profit (Loss) from Other Activities,-29.77,27.95,58.95,82.25,4.61
7,Net Profit,407.45,515.53,546.77,641.64,1100.42
8,EPS (Baht),0.31,0.4,0.42,0.49,0.85
9,Financial Ratio,,,,,
10,ROA (%),5.02,7.74,8.87,11.36,18.87
11,ROE (%),6.73,8.25,8.77,10.38,18.32
12,Net Profit Margin (%),7.62,10.09,10.41,10.09,13.61
