,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,3293888.99,3658797.76,4103398.52,4246368.88,4283556.38
2,Liabilities,2840174.27,3167511.71,3566723.5,3679289.45,3686721.07
3,Equity,406357.62,439669.63,476713.71,503269.88,532284.77
4,Paid-up Capital,23932.6,23693.28,23693.28,23693.28,23693.28
5,Revenue,185002.38,176921.41,258001.38,271302.26,306529.43
6,Profit (Loss) from Other Activities,16818.44,9234.39,5662.07,5037.33,11500.23
7,Net Profit,38726.74,29487.12,38052.72,35769.49,42405.04
8,EPS (Baht),16.18,12.42,15.77,14.78,17.58
9,Financial Ratio,,,,,
10,ROA (%),2.52,1.72,1.75,1.56,2.13
11,ROE (%),9.9,6.97,8.3,7.3,8.19
12,Net Profit Margin (%),23.48,19.04,16.37,13.99,14.7
