,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,10141.67,14270.41,28036.23,33861.63,42444.45
2,Liabilities,6708.39,8515.87,8958.57,10773.46,15137.02
3,Equity,3395.58,5724.07,19032.13,23016.38,26543.91
4,Paid-up Capital,444.0,488.05,683.66,729.57,729.87
5,Revenue,2536.36,3206.83,3656.20,4468.39,5157.54
6,Profit (Loss) from Other Activities,14.38,-5.81,-,97.86,568.15
7,Net Profit,681.36,1047.04,1400.37,1745.57,2010.66
8,EPS (Baht),0.77,1.15,1.29,1.22,1.38
9,Financial Ratio,,,,,
10,ROA (%),11.3,12.48,9.29,7.02,7.61
11,ROE (%),20.07,22.96,11.31,8.3,8.11
12,Net Profit Margin (%),25.61,32.31,37.72,37.63,40.21
