,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,3389.97,3647.16,3848.4,4561.33,5680.24
2,Liabilities,646.2,774.05,841.93,1201.27,1784.38
3,Equity,2647.19,2771.59,2905.68,3257.81,3817.51
4,Paid-up Capital,304.38,304.38,306.09,308.29,308.29
5,Revenue,3369.4,3323.61,3712.77,4899.51,6198.41
6,Profit (Loss) from Other Activities,-0.89,-21.46,-26.77,-12.03,-30.56
7,Net Profit,403.06,380.16,410.81,653.15,1074.2
8,EPS (Baht),1.32,1.25,1.35,2.12,3.49
9,Financial Ratio,,,,,
10,ROA (%),15.96,13.79,13.84,19.46,25.93
11,ROE (%),15.88,14.03,14.47,21.19,30.36
12,Net Profit Margin (%),11.95,11.61,11.05,13.36,16.95
