,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,634050.56,761719.09,842680.62,926987.18,887217.85
2,Liabilities,415178.17,499540.52,555543.77,627143.64,602184.76
3,Equity,168275.26,191936.79,215066.99,256052.65,239416.23
4,Paid-up Capital,8611.24,8611.24,8611.24,8611.24,8413.57
5,Revenue,536775.52,595011.1,517584.4,619017.57,590786.78
6,Profit (Loss) from Other Activities,16992.9,21974.32,13160.64,9567.75,14216.43
7,Net Profit,18455.81,26022.39,13028.26,13969.55,-5207.35
8,EPS (Baht),2.18,3.14,1.56,1.69,-0.75
9,Financial Ratio,,,,,
10,ROA (%),6.87,10.3,4.15,4.61,2.6
11,ROE (%),11.06,14.45,6.4,5.93,-2.1
12,Net Profit Margin (%),4.49,7.41,2.72,2.33,-0.43
