,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,54294.08,46541.08,58725.89,63288.12,65659.77
2,Liabilities,21818.05,20113.99,24355.16,24581.07,29197.98
3,Equity,32476.03,26427.09,34370.73,38707.05,36456.58
4,Paid-up Capital,30004.44,30004.44,30004.44,30004.44,30004.44
5,Revenue,168875.55,130234.19,172546.16,285327.31,238422.33
6,Profit (Loss) from Other Activities,1218.13,463.03,-74.14,207.46,-218.44
7,Net Profit,-2808.7,-6004.84,4746.46,7673.8,-1229.93
8,EPS (Baht),-0.65,-1.38,1.09,1.77,-0.28
9,Financial Ratio,,,,,
10,ROA (%),-6.67,-14.64,11.64,16.25,-1.79
11,ROE (%),-7.91,-20.39,15.61,21.0,-3.27
12,Net Profit Margin (%),-1.66,-4.61,2.75,2.69,-0.52
