,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,26181.03,24221.67,20856.8,24258.81,29212.11
2,Liabilities,5915.9,5385.05,3238.87,4253.49,5114.32
3,Equity,19973.37,18531.53,17286.12,19705.5,23801.13
4,Paid-up Capital,730.05,795.77,795.77,795.77,795.77
5,Revenue,18718.27,12567.83,12673.3,20953.49,25687.87
6,Profit (Loss) from Other Activities,-15.48,2.32,-14.33,-3.78,27.16
7,Net Profit,3747.73,1204.14,1215.68,4938.22,7006.45
8,EPS (Baht),5.14,1.54,1.53,6.21,8.81
9,Financial Ratio,,,,,
10,ROA (%),18.3,5.95,6.99,26.83,32.32
11,ROE (%),19.51,6.25,6.79,26.7,32.21
12,Net Profit Margin (%),20.09,9.72,9.78,23.75,27.46
