,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,380567.91,453171.51,541828.24,623878.39,590131.97
2,Liabilities,242400.62,317563.72,370824.81,422993.01,412064.05
3,Equity,129711.92,126655.0,158768.67,185989.67,164362.29
4,Paid-up Capital,5614.55,5614.55,5614.55,5614.55,5614.55
5,Revenue,355864.78,336542.78,473072.95,665548.57,547731.79
6,Profit (Loss) from Other Activities,-290.81,262.25,-136.95,953.37,-458.25
7,Net Profit,5252.11,2414.28,26288.03,31006.08,-10797.94
8,EPS (Baht),0.76,0.3,4.55,5.39,-2.06
9,Financial Ratio,,,,,
10,ROA (%),3.03,2.21,8.46,8.68,0.29
11,ROE (%),3.83,1.88,18.42,17.99,-6.16
12,Net Profit Margin (%),1.23,0.83,5.97,5.16,-1.99
