,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,18151.71,20765.17,27226.51,33318.03,33982.74
2,Liabilities,11691.34,13675.41,16346.77,21715.08,21807.12
3,Equity,6460.37,7089.75,10879.74,11602.95,12175.62
4,Paid-up Capital,1856.16,2165.52,2422.17,2906.74,3089.13
5,Revenue,17971.82,18924.82,25937.13,31547.27,31596.74
6,Profit (Loss) from Other Activities,-,-,-,-,-
7,Net Profit,725.51,726.68,1818.06,774.07,585.28
8,EPS (Baht),0.46,0.34,0.76,0.27,0.19
9,Financial Ratio,,,,,
10,ROA (%),6.64,5.91,10.52,4.32,3.83
11,ROE (%),12.89,10.73,20.23,6.89,4.92
12,Net Profit Margin (%),4.04,3.84,7.01,2.45,1.85
