,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,10532.71,11589.71,13271.7,14646.44,14114.86
2,Liabilities,4357.61,4610.79,5246.58,5869.71,4812.68
3,Equity,6175.0,6957.64,8002.82,8776.66,9302.16
4,Paid-up Capital,435.94,435.94,435.94,435.94,435.94
5,Revenue,11163.72,12613.02,14182.36,15766.69,15776.27
6,Profit (Loss) from Other Activities,-72.25,-15.47,117.01,-137.98,-706.5
7,Net Profit,1138.52,1392.65,1946.83,2241.53,1992.67
8,EPS (Baht),1.31,1.6,2.23,2.57,2.29
9,Financial Ratio,,,,,
10,ROA (%),13.53,15.32,18.54,18.79,15.94
11,ROE (%),19.14,21.21,26.03,26.72,22.04
12,Net Profit Margin (%),10.2,11.01,13.69,14.21,12.63
