,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,16501.0,17377.04,21950.73,20993.48,19193.32
2,Liabilities,4739.06,5315.02,8508.64,7548.17,5444.04
3,Equity,11712.33,12009.88,13380.41,13389.47,13688.51
4,Paid-up Capital,586.4,589.03,590.79,590.98,591.04
5,Revenue,12288.69,11741.86,15329.77,18786.59,16683.36
6,Profit (Loss) from Other Activities,19.17,9.84,17.41,18.55,14.17
7,Net Profit,934.49,1126.79,2426.28,2317.23,1719.58
8,EPS (Baht),0.8,0.96,2.06,1.96,1.45
9,Financial Ratio,,,,,
10,ROA (%),6.07,7.6,13.86,11.93,9.87
11,ROE (%),7.9,9.5,19.11,17.31,12.7
12,Net Profit Margin (%),7.73,9.73,16.05,12.49,10.47
