,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,82585.59,82774.02,83420.94,85150.79,96745.42
2,Liabilities,54773.07,56503.38,57312.98,60684.37,70736.93
3,Equity,27392.67,25846.62,25668.9,24026.36,25482.49
4,Paid-up Capital,1693.9,1693.9,1693.9,1693.9,1693.9
5,Revenue,24748.82,18167.02,13996.33,19437.84,37907.04
6,Profit (Loss) from Other Activities,1853.94,1131.81,1510.81,1752.02,1568.69
7,Net Profit,1777.78,612.16,905.7,1104.61,1500.98
8,EPS (Baht),1.05,0.37,0.55,0.67,0.89
9,Financial Ratio,,,,,
10,ROA (%),3.79,2.34,2.84,3.03,3.86
11,ROE (%),6.73,2.3,3.52,4.45,6.06
12,Net Profit Margin (%),7.24,3.45,6.67,5.77,4.21
