,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,252016.62,256656.32,270379.12,288810.09,281703.1
2,Liabilities,141840.91,144788.95,152631.58,173709.87,164178.28
3,Equity,100893.03,102901.39,108334.28,104729.96,106195.04
4,Paid-up Capital,28197.29,28197.29,28197.29,28197.29,28197.29
5,Revenue,67480.77,70982.68,78148.08,126416.06,92297.35
6,Profit (Loss) from Other Activities,1154.48,925.67,1442.78,1597.92,1282.37
7,Net Profit,4060.8,7508.13,7318.58,891.45,3694.22
8,EPS (Baht),2.25,2.66,2.6,0.32,1.31
9,Financial Ratio,,,,,
10,ROA (%),7.2,5.31,4.89,1.92,3.72
11,ROE (%),5.76,7.37,6.93,0.84,3.5
12,Net Profit Margin (%),8.89,11.96,10.03,1.15,5.21
