,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,58794.21,58723.86,60408.95,68226.54,83943.68
2,Liabilities,32498.09,29460.56,27985.54,31498.61,43206.49
3,Equity,26313.12,29281.35,32441.68,36747.17,40756.86
4,Paid-up Capital,3145.9,3145.9,3145.9,3145.9,3145.9
5,Revenue,23889.79,29958.5,31980.04,38702.38,38399.23
6,Profit (Loss) from Other Activities,1085.44,1947.62,1000.28,1236.44,1054.71
7,Net Profit,3067.51,4226.53,4543.06,5877.45,6054.44
8,EPS (Baht),0.98,1.34,1.44,1.87,1.92
9,Financial Ratio,,,,,
10,ROA (%),7.2,8.99,9.51,11.21,10.01
11,ROE (%),12.1,15.2,14.72,16.99,15.62
12,Net Profit Margin (%),12.83,14.1,14.21,15.18,15.77
