,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,66242.63,61378.09,70054.6,85541.44,70620.82
2,Liabilities,44124.7,47018.56,50846.27,58337.37,42657.8
3,Equity,22110.5,14352.09,19200.9,27196.63,27955.58
4,Paid-up Capital,17075.18,17075.18,17075.18,17075.18,17075.18
5,Revenue,169430.07,126738.85,172907.15,263040.69,229826.97
6,Profit (Loss) from Other Activities,379.99,285.1,226.82,311.87,361.16
7,Net Profit,-3065.7,-7911.07,4443.21,9508.29,2141.53
8,EPS (Baht),-0.89,-2.29,1.28,2.75,0.62
9,Financial Ratio,,,,,
10,ROA (%),-5.69,-15.05,8.83,15.69,4.26
11,ROE (%),-12.79,-43.39,26.48,40.99,7.77
12,Net Profit Margin (%),-1.81,-6.24,2.57,3.62,0.93
