,Period as of,Y/E 2019 31 Dec 2019,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,,
1,Assets,7818.93,9473.7,12604.88,13041.35,39198.22
2,Liabilities,4548.8,6222.08,8626.49,9606.96,15892.89
3,Equity,3149.96,3118.38,3737.74,3117.3,22329.84
4,Paid-up Capital,510.0,510.0,510.0,510.0,905.51
5,Revenue,3660.24,3922.44,5293.32,5988.16,23962.34
6,Profit (Loss) from Other Activities,114.72,116.94,221.31,332.01,194.54
7,Net Profit,362.79,289.97,571.68,504.32,761.32
8,EPS (Baht),0.36,0.28,0.56,0.49,0.44
9,Financial Ratio,,,,,
10,ROA (%),7.14,5.76,7.42,6.69,5.54
11,ROE (%),11.71,9.25,16.68,14.71,5.98
12,Net Profit Margin (%),9.63,7.18,10.52,8.65,3.45
